anio;provincia_id;provincia_nombre;departamento_id;departamento_nombre;localidad_id;localidad_nombre;superficie_ha;﻿pais_id;pais_productor;provincia_id_1;provincia_productora;departamento_id_1;departamento_productor;localidad_productora;año_cosecha;quintales_producidos;rendimiento_kg_ha
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;3425;23,4124000273
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;54083.1;369,6978604142
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;2437.9;16,6648438034
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;2253.5;15,4043338574
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;49944.6;341,4081618703
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;5928.2;40,5236174721
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;3293.5;22,513500581
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;831.8;5,6859662315
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;103724.67;709,0345888304
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;2733;18,6820698612
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;563.8;3,8539886527
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;15357.5;104,9798345752
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;169.4;1,1579738875
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;485.1;3,3160161323
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;66979.26;457,8526215052
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;226289.42;1546,8550140133
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;460.8;3,1499077175
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;448.4;3,0651445758
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;4787;32,7226741404
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;10691.09;73,0814819878
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;5541;37,876820015
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;2324.05;15,8865951193
2013;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;146.29;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2013;59759.36;408,4992822476
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;1222.2;8,702648818
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;190205.65;1354,3552406722
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;1776.6;12,6502420963
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;51704.4;368,1600683566
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;14410.94;102,6127883794
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;3100.1;22,0741953859
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;2581.8;18,3836513814
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;8106.36;57,7211620621
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;1816.95;12,9375534036
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;795.4;5,6636285958
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;27755.57;197,6329393335
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;1461.8;10,4087154657
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;59246.89;421,8662062091
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;6528.32;46,484762176
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;102332.67;728,6575761891
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;102.2;0,7277129023
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;16561.47;117,9255909997
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;865.4;6,1620620906
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;14168.9;100,8893477642
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;89152.97;634,8118057533
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;2326.2;16,5636570778
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;50002.6;356,0424380518
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;7.4;0,0526915409
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;2737.5;19,4923098832
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;1325.2;9,4360581031
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;36515.3;260,0064084306
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;3837.8;27,3269723725
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;2104;14,9814867559
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;1281;9,1213329536
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;95038.63;676,720521219
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;2600.4;18,5160922814
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;720.2;5,1281686129
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;11639.5;82,878809456
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;196.4;1,3984619766
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;469;3,3395044147
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;53283.59;379,4046567929
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;163643;1165,2164625463
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;422.2;3,0062660211
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;273.4;1,9467388208
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;4378.4;31,1763030476
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;8623.58;61,4040159499
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;4582.4;32,6288806608
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;2127.93;15,1518798063
2014;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;140.44;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2014;47920.19;341,2146824267
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;1156.2;8,3546499024
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;189589.36;1369,9643037792
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;395.6;2,8585880483
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;2050.2;14,814654238
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;51805.23;374,3422935183
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;13003.2;93,9605462822
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;3380.4;24,4266204206
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;3158.2;22,821013079
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;5644.2;40,7847387817
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;547.2;3,9540429222
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;705.4;5,0971891033
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;26604.4;192,2422140328
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;938;6,7779463834
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;45474.22;328,5946961486
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;5378.6;38,8655249657
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;94298.69;681,3981501554
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;225.8;1,6316207818
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;12002.65;86,730616374
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;1090;7,8762916396
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;14041.88;101,4660018787
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;91655.26;662,2968422574
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;3266.4;23,6028614784
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;42365.72;306,1328130645
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;90.2;0,6517811981
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;2642.2;19,0924199725
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;2000;14,4519112653
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;33219;240,0390201604
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;2980.6;21,5376833586
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;2148.8;15,5271334634
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;1182.4;8,54396994
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;91033.03;657,8006358841
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;1880;13,5847965893
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;583.2;4,214177325
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;11358.9;82,0789074355
